"","Name","JapaneseName","Station","FirstCategory","SecondCategory","DinnerPrice","LunchPrice","TotalRating","DinnerRating","LunchRating","ReviewNum","Lat","Long"
"1","Orudeidainingurajou  ","オールデイダイニング　ラジョウ","Kyoto","Buffet style","Cafe","￥4000～￥4999","￥2000～￥2999",3.39,3.2,3.38,56,34.9861751483108,135.761313932311
"2","Steak Frites Gaspard zinzin  ","ステックフリット ガスパール ザンザン","Karasuma","Bistro","Steak","￥3000～￥3999","￥1000～￥1999",3.18,3.06,3.33,70,35.0058257987896,135.759856759688
"3","KAZUMA  ","和馬","Sanjo","Izakaya (Tavern)","Japanese food (other)","￥3000～￥3999",NA,3.28,3.28,NA,7,35.0065825659963,135.770246695295
"4","okonomiyakiteppanyakimiki  ","お好み焼き 鉄板焼き 三喜","Tambaguchi","Okonomiyaki","Izakaya (Tavern)","￥3000～￥3999",NA,3.14,3.14,NA,16,34.9959244331732,135.748266511467
"5","Shaofeiyan  ","小肥羊 京都河原町店","Kyoto Shiyakusho Mae","Chinese hot pot / fire pot","Chinese","￥4000～￥4999","￥1000～￥1999",3.16,3.16,3.05,23,35.00790072262,135.768201804433
"6","okuta-va  ","OCTAVAR","Kyoto","Bar","Italian","￥4000～￥4999","￥1000～￥1999",3.08,3,3.11,24,34.9834970882448,135.760559396056
"7","Resort dining&bar HaLe  ","Resort dining&bar HaLe 河原町店","Sanjo","Italian","Bar","￥3000～￥3999","￥1000～￥1999",3.04,3.05,3,22,35.0071947091437,135.769468120661
"8","Sumika  ","棲家","Kawaramachi","Izakaya (Tavern)","Creative cuisine","￥3000～￥3999",NA,3.34,3.34,NA,23,35.0047040863454,135.770182117381
"9","Gayagaya  ","我家我家","Sanjo","Izakaya (Tavern)","Bar","￥3000～￥3999",NA,3.03,3.04,NA,3,35.0071741645137,135.76996780233
"10","Ishibekoujimamecha  ","石塀小路 豆ちゃ 京都","Gion Shijo","Izakaya (Tavern)","Kyoto Cuisine","￥4000～￥4999",NA,3.56,3.56,NA,92,35.0008130609394,135.779155387735
